respondent_id,knowledge_level_of_international_food,interested_in_international_foods,algeria,argentina,australia,belgium,bosnia_and_herzegovina,brazil,cameroon,chile,colombia,costa_rica,croatia,ecuador,england,france,germany,ghana,greece,honduras,iran,italy,ivory_coast,japan,mexico,the_netherlands,nigeria,portugal,russia,south_korea,spain,switzerland,united_states,uruguay,china,india,thailand,turkey,cuba,ethiopia,vietnam,ireland,gender,age,household_income,education,census_region_location
3308895255.0,Intermediate,Some,,3.0,5.0,4.0,,3.0,,4.0,,4.0,,,4.0,3.0,5.0,,,,,5.0,3.0,1.0,5.0,,,1.0,3.0,,,,5.0,2.0,4.0,5.0,4.0,,,3.0,,4.0,Male,18-29,"$100,000 - $149,999",Less than high school degree,West South Central
3308891308.0,Novice,Some,,,3.0,3.0,,3.0,,,,,,,4.0,4.0,4.0,,4.0,,,5.0,,3.0,5.0,,,,,,3.0,,4.0,,2.0,2.0,4.0,,,,,4.0,Male,18-29,"$100,000 - $149,999",Some college or Associate degree,West South Central
3308891135.0,Intermediate,A lot,3.0,4.0,,3.0,,4.0,5.0,5.0,4.0,5.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0,3.0,4.0,5.0,,3.0,4.0,2.0,,3.0,2.0,4.0,4.0,2.0,3.0,,3.0,5.0,5.0,,4.0,5.0,4.0,3.0,Male,30-44,"$50,000 - $99,999",Graduate degree,Pacific
3308879091.0,Novice,Not much���,,3.0,,3.0,,,3.0,3.0,2.0,4.0,,,3.0,3.0,3.0,,4.0,,3.0,3.0,,3.0,4.0,3.0,,4.0,3.0,3.0,3.0,3.0,3.0,,4.0,3.0,2.0,3.0,4.0,,4.0,3.0,Male,45-60,"$0 - $24,999",Less than high school degree,New England
3308871671.0,Novice,Not much���,,,,,,,,,,,,,2.0,3.0,3.0,,,,,4.0,,2.0,4.0,,,,,,3.0,,3.0,,3.0,3.0,3.0,,3.0,,3.0,,Male,30-44,"$25,000 - $49,999",High school degree,Pacific
3308871406.0,Advanced,A lot,,4.0,3.0,5.0,3.0,5.0,,4.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,,5.0,,4.0,5.0,,5.0,5.0,4.0,,4.0,5.0,4.0,5.0,,2.0,3.0,3.0,5.0,5.0,5.0,5.0,,,3.0,Female,30-44,"$50,000 - $99,999",Graduate degree,East North Central
3308866182.0,Novice,Some,,3.0,,,,,,,,,,,,,,,,,,3.0,,3.0,3.0,,,,,,3.0,,4.0,,3.0,2.0,,,,,3.0,,Male,45-60,,High school degree,West South Central
3308857114.0,Advanced,A lot,,5.0,4.0,3.0,,4.0,,4.0,4.0,4.0,,3.0,3.0,5.0,5.0,,4.0,3.0,,5.0,,4.0,4.0,4.0,,4.0,3.0,3.0,5.0,5.0,5.0,3.0,4.0,4.0,3.0,3.0,5.0,,3.0,4.0,Male,45-60,"$0 - $24,999",Some college or Associate degree,South Atlantic
3308856510.0,Novice,Not much���,,,,,,,,,4.0,,,,3.0,,4.0,,4.0,,,4.0,,3.0,4.0,,,,,,,,4.0,,3.0,4.0,3.0,,4.0,,4.0,4.0,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
3308846915.0,Novice,Some,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
